algorithm,dataset,size,time_ms,comparisons,swaps
Merge Sort,constant_10000,10000,22.249937057495117,64608,133616
Merge Sort,empty,0,0.0,0,0
Merge Sort,constant_1000,1000,1.6851425170898438,4932,9976
Merge Sort,nearly_sorted_10000,10000,24.710893630981445,112655,133616
Merge Sort,duplicates_1000,1000,1.9550323486328125,8711,9976
Merge Sort,random_100,100,0.14400482177734375,544,672
Merge Sort,random_10000,10000,25.87437629699707,120464,133616
Merge Sort,nearly_sorted_1000,1000,1.8470287322998047,7932,9976
Merge Sort,nearly_sorted_100,100,0.1399517059326172,495,672
Merge Sort,reverse_sorted_10000,10000,21.210908889770508,69008,133616
Merge Sort,random_1000,1000,1.9190311431884766,8706,9976
Merge Sort,reverse_sorted_1000,1000,1.5840530395507812,5044,9976
Merge Sort,reverse_sorted_100,100,0.125885009765625,356,672
Merge Sort,duplicates_10000,10000,26.276111602783203,120465,133616
Merge Sort,two_elements,2,0.0021457672119140625,1,2
Merge Sort,constant_100,100,0.12373924255371094,316,672
Merge Sort,duplicates_100,100,0.14495849609375,540,672
Merge Sort,single,1,0.0,0,0
Heap Sort,constant_10000,10000,3.9370059967041016,29994,9999
Heap Sort,empty,0,0.00095367431640625,0,0
Heap Sort,constant_1000,1000,0.39196014404296875,2994,999
Heap Sort,nearly_sorted_10000,10000,38.36393356323242,242504,130118
Heap Sort,duplicates_1000,1000,2.6171207427978516,16880,9091
Heap Sort,random_100,100,0.1800060272216797,1037,587
Heap Sort,random_10000,10000,36.814212799072266,235418,124232
Heap Sort,nearly_sorted_1000,1000,2.73895263671875,17406,9574
Heap Sort,nearly_sorted_100,100,0.18095970153808594,1073,624
Heap Sort,reverse_sorted_10000,10000,35.099029541015625,226682,116696
Heap Sort,random_1000,1000,2.5959014892578125,16849,9087
Heap Sort,reverse_sorted_1000,1000,2.401113510131836,15965,8316
Heap Sort,reverse_sorted_100,100,0.22411346435546875,944,516
Heap Sort,duplicates_10000,10000,36.80300712585449,235437,124185
Heap Sort,two_elements,2,0.0040531158447265625,1,1
Heap Sort,constant_100,100,0.048160552978515625,294,99
Heap Sort,duplicates_100,100,0.1709461212158203,1034,581
Heap Sort,single,1,0.00095367431640625,0,0
Insertion Sort,constant_10000,10000,0.9849071502685547,9999,0
Insertion Sort,empty,0,0.0011920928955078125,0,0
Insertion Sort,constant_1000,1000,0.10704994201660156,999,0
Insertion Sort,nearly_sorted_10000,10000,785.7670783996582,5773485,5773454
Insertion Sort,duplicates_1000,1000,31.03470802307129,245911,245909
Insertion Sort,random_100,100,0.2810955047607422,2211,2211
Insertion Sort,random_10000,10000,3234.816074371338,24922995,24922999
Insertion Sort,nearly_sorted_1000,1000,8.626937866210938,64015,64002
Insertion Sort,nearly_sorted_100,100,0.1239776611328125,875,868
Insertion Sort,reverse_sorted_10000,10000,6510.81109046936,49995000,50004999
Insertion Sort,random_1000,1000,32.90128707885742,253209,253214
Insertion Sort,reverse_sorted_1000,1000,64.9878978729248,499500,500499
Insertion Sort,reverse_sorted_100,100,0.640869140625,4950,5049
Insertion Sort,duplicates_10000,10000,3236.937999725342,24931025,24931023
Insertion Sort,two_elements,2,0.0021457672119140625,1,2
Insertion Sort,constant_100,100,0.011205673217773438,99,0
Insertion Sort,duplicates_100,100,0.28204917907714844,2187,2182
Insertion Sort,single,1,0.0,0,0
Insertion Sort (Binary),constant_10000,10000,1598.0501174926758,9999,25004998
Insertion Sort (Binary),empty,0,0.0019073486328125,0,0
Insertion Sort (Binary),constant_1000,1000,16.560077667236328,999,250498
Insertion Sort (Binary),nearly_sorted_10000,10000,385.35022735595703,118987,5773454
Insertion Sort (Binary),duplicates_1000,1000,16.70074462890625,6693,246766
Insertion Sort (Binary),random_100,100,0.21457672119140625,532,2211
Insertion Sort (Binary),random_10000,10000,1597.217082977295,118930,24922999
Insertion Sort (Binary),nearly_sorted_1000,1000,5.377054214477539,8644,64002
Insertion Sort (Binary),nearly_sorted_100,100,0.15115737915039062,545,868
Insertion Sort (Binary),reverse_sorted_10000,10000,3178.0879497528076,113631,50004999
Insertion Sort (Binary),random_1000,1000,17.528057098388672,8579,253214
Insertion Sort (Binary),reverse_sorted_1000,1000,32.14073181152344,7987,500499
Insertion Sort (Binary),reverse_sorted_100,100,0.38623809814453125,480,5049
Insertion Sort (Binary),duplicates_10000,10000,1693.284034729004,100267,24940066
Insertion Sort (Binary),two_elements,2,0.0030994415283203125,1,2
Insertion Sort (Binary),constant_100,100,0.1881122589111328,99,2548
Insertion Sort (Binary),duplicates_100,100,0.2009868621826172,355,2282
Insertion Sort (Binary),single,1,0.0,0,0
